,Antisera,,A/SWINE/FRANCE/FINISTERE/2899/1982,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015,A/SWINE/SCOTLAND/410440/1994,A/SWINE/FRANCE/COTES_DARMOR/0113/2006,A/SWINE/FRANCE/COTES_DARMOR/0214/2006,A/SWINE/FRANCE/22-130212/2013,A/SWINE/FRANCE/COTES_DARMOR/0190/2006,A/SWINE/FRANCE/COTES_DARMOR/0070/2010,A/SWINE/FRANCE/22-120067/2012,A/BRAZIL/11/1978,A/CHILE/1/1983,A/NEW_CALEDONIA/20/1999,A/SOLOMON_ISLANDS/3/2006,A/TAIWAN/1/1986,A/BEIJING/262/1995,A/CALIFORNIA/4/2009,A/SWINE/IOWA/1973,A/SWINE/MINNESOTA/02093/2008,A/SWINE/MINNESOTA/37866/1999,A/SWINE/KENTUCKY/02086/2008,A/SWINE/NEBRASKA/02013/2008,A/SWINE/NORTH_CAROLINA/02084/08,A/SWINE/OHIO/511445/2007,A/OHIO/9/2015,A/SWINE/FRANCE/MORBIHAN/0070/2005,A/SWINE/FRANCE/COTES_DARMOR/0388/2009,A/SWINE/FRANCE/COTES_DARMOR/0186/2010,A/SWINE/FRANCE/65-150242/2015
,,Clade,1C.1,1C.2.1,1C.2.1,1C.2.1,1C.2.4,1B.1.1,1B.1.2.3,1B.1.1,1B.1.2.3,1B.1.2.3,,,1B.1.1,1B.1.1,,1B.1.1,,,1A.3.3.2,1A.4,,,,,,,1A.3.3.3-c1,1C.2.1,1C.2.1,1C.2.1,1C.2.4
Antigen,Clade,Subtype,H1N1,H1N1,H1N1,H1N2,H1N2,H1N2,H1N2,H1N2,H1N2,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,H1N1,,,,,,,H1N1,H1N1,H1N1,H1N2,H1N2
A/SWINE/FRANCE/COTES_DARMOR/0190/2006,1B.1.2.3,H1N1,5.50004288530763,6.48858253776852,4.92447299411245,3.96727824844424,9.155072661075,6.73105337991915,3.86328673282343,6.66664528477454,3.98380934636235,3.15796526574759,3.50954462822912,2.57952302872933,6.49947872146098,6.95137553247883,7.35684291281306,7.76070101070482,7.5933105533033,7.06216713398437,8.19374739158667,6.92863349836255,7.41742612760446,8.30747937780114,7.46611897073755,8.07873869181463,8.7311542681607,8.25374227216671,8.31544729117155,7.19210217625166,7.10537608254169,6.94308151062154,10.6128815093824
A/SWINE/SPAIN/45700-1/2016,1C.2.1,H1N2,6.63879135288144,3.32194722292905,5.06841767096508,5.62325397633445,5.83862643194966,7.79132007043626,9.20180943247943,8.34567786873828,10.2391617022108,7.24972964906132,7.53926401469999,7.85065628429847,7.93372602513548,8.06731969206645,8.31532707368059,10.2310400552799,8.71080022992777,8.09155005814247,4.59344050764108,5.87242629275561,5.43872793805391,6.83625255939901,5.30253822172477,4.80167216610618,5.94030675247193,5.06274621104647,9.37927838838496,2.8363297599963,2.66644652346055,3.30848368238204,5.28020265346161
A/SWINE/SPAIN/40250-1/2016,1C.2.1,H1N1,4.11121008425384,2.33660626776938,3.62383211132677,4.75153332950621,6.93811306025596,6.89055753888584,7.87178631676236,7.69014556906456,9.27832764550266,5.64842842401502,6.36925319753631,6.29184037208101,6.44858190872588,6.690464008971,6.18090442718574,7.79967851676338,6.51401108536748,6.27584198108475,2.20374139320673,3.21851937706928,4.28907110453846,3.78376103320268,3.24297883631533,2.92838941076966,4.17864810891939,2.65725955838156,6.4450345132861,1.8169920278624,2.24846243776711,2.97748390443923,7.06872240373607
A/SWINE/SPAIN/40250-2/2016,1C.2.1,H1N1,3.69442300517616,4.00435075223002,3.52682989183217,3.6132630122012,5.94051984748273,2.91406367098984,3.20017898552148,3.66370282076199,4.76618424380941,2.33363504165588,2.22290370230825,2.83827175514538,2.1246818139571,2.58240569163135,2.69097603112192,4.29286504336985,3.08955100310986,2.35860112623873,3.48253240886679,2.47509326404174,2.38359678541216,4.31767722142656,2.38334419076706,3.06903326634576,3.43260383813727,3.38658638125571,4.84884361698477,3.8730694118504,4.03516638277047,3.38341728294846,7.30000422325484
A/BRAZIL/11/1978,1B.1.1,H1N1,10.330449001437,9.86069746890612,10.2060572186032,10.1881900118616,6.71145099246009,4.76261020674252,7.65107814917097,5.03106612489228,8.33904539851486,9.06940183934174,7.99993911878971,9.36400453000758,5.06940387529245,4.55325166334351,5.530968870236,6.66044029816554,5.55281653283692,5.03749547710618,7.69302877409093,7.91256419481981,5.73799720677627,8.95034174362758,6.77798348669257,6.81949355216686,5.68441363477519,7.39461277575046,8.66330477203034,9.10573944646111,9.21910855948704,8.1622179359856,7.87685910915148
A/SOLOMON_ISLANDS/3/2006,1B.1.1,H1N1,8.3579075256591,8.6765219468728,8.41481718394883,8.18517478998939,6.97462554867135,2.89154512341795,4.50822266156964,3.0206587134209,5.17582246616681,6.53461908846986,5.39495021604445,6.64274369303667,2.83040586483012,2.47616961438622,3.71212583063863,4.39155909102719,3.71653219337378,3.06994741647268,7.14829103040267,6.59110051208911,5.0293737710561,7.86019797412993,5.92509842646885,6.35103571792974,5.53753512174964,6.84221738101857,7.00797470916757,8.25117620288563,8.35677945576053,7.33763216264968,8.65528650875976
A/SWINE/FRANCE/MORBIHAN/0070/2005,1C.2.1,H1N1,6.51758037793338,3.26845403229373,4.33232620872682,4.00688657550511,3.71401769626073,5.76799026023854,6.9253317474031,5.98288873534432,7.55583726412328,5.59268674957301,5.31221861709985,6.06035978548847,6.35270284361684,6.48155371830889,7.48549731856202,9.42611774682811,7.92356462012645,6.93098580255085,5.26607129570305,5.91267734951763,4.49893911598024,7.59039854679952,5.16882385242058,4.99145597145914,5.97621270781611,5.6270041484336,9.46670992665497,3.12259440423212,2.63946893220174,2.37275207483028,4.04069157852273
A/PAVIA/65/2016,1C.2.1,H1N1,6.73747807662359,3.9752215557805,5.63207207051239,6.47973851506591,7.321150866072,8.87142501671374,10.1841284284731,9.53672463479731,11.3728021513533,8.00584780304168,8.54321996191317,8.62482602091589,8.78902009676079,8.94751146147946,8.81624379315546,10.5940230081364,9.17244525010555,8.76635914870224,4.74942516025501,6.07704901288315,6.28995937741881,6.56871908580844,5.75327248654622,5.22214837726379,6.34574998023628,5.20881497161432,9.30129309382007,3.55145528386718,3.58831305266741,4.4160652420609,6.70537626054185
A/NETHERLANDS/3315/2016,1C.2.1,H1N1,3.66950452656263,1.39410647009318,2.56181387399784,3.36466067678719,5.6175848226636,5.26568542622057,6.20172522684806,5.98808901740777,7.52355719905842,4.17234845110625,4.64398284318639,4.82424935231937,4.97606457544531,5.23954469276569,5.16258095964263,6.93913686409192,5.55643957612252,5.03446434265109,2.05766535256665,2.62389515969427,2.93417989787251,4.08276184381943,2.3344324945323,2.25608027402201,3.57571834454538,2.45924098919442,6.24043788264629,0.686486624725598,1.10361964487972,1.37076156987583,6.15291349456561
A/SWINE/NETHERLANDS/RHEZERVEEN_CV19121A/2012,1C.2.1,H1N2,4.78573664182808,2.25103833935946,3.84322669563883,4.75367122312853,6.06066119968049,6.56553803338336,7.84406862450466,7.31025976896734,9.14953998928581,5.81067681502396,6.29690099507933,6.45979265220655,6.3367560718156,6.5258786017592,6.33578691313009,8.13490521077633,6.70185697547512,6.28524042938632,2.39468747380453,3.67028571989299,3.94614220853653,4.54877581687192,3.28125414492137,2.83444467683527,4.08684513680009,2.8780185753802,7.09821772137257,1.42361829858058,1.72599682359684,2.36664002880475,6.08144522356566
