,,,,A/CALIFORNIA/4/2009,A/MICHIGAN/45/2015,A/BRISBANE/02/2018,A/OHIO/9/2015,A/BRAZIL/11/1978,A/MICHIGAN/383/2018,A/HUNAN/42443/2015,A/NETHERLANDS/3315/2016,A/PAVIA/65/2016,A/SWINE/HASELUNNE/IDT2617/2003,A/WSV/1832/2000,A/JENA/MSV-VI5258/2009,A/SWINE/NETHERLANDS/AR647/2015,A/SWINE/GERMANY/AR2749/2015
Strain,,,,1A.3.3.2*,1A.3.3.2*,1A.3.3.2*,1A.3.3.3-c1,1B.1.1,1B.2.1**,1C.2.2**,1C.2.1**,1C.2.1,1C.2.2 ,1B,1A.3.3.2,1.B.1.2.1,1A.3.3.2
,,,,H1N1,H1N1,H1N1,H1N1,H1N1,H1N2,H1N1,H1N1,H1N1,H1N1,,,H1N1,H1N2
,Clade,Subtype,Year,,,,,,,,,,,,,,
A/SWINE/BELGIUM/GENT/31/2018,1C.2.2,,,4.788305658,4.538517932,4.856873876,3.710025316,3.144008217,3.56503822,2.732573641,2.061097162,2.779017999,3.898532429,3.884525681,3.842779402,4.546929877,4.899634724
A/HUNAN/42443/2015,1C.2.2**,,,1.958049165,2.350540765,3.137714912,5.301022182,6.150097521,7.217828824,1.555546383,2.786339441,3.815793967,2.611308301,4.4136524,2.161148505,5.323087959,1.917434125
A/SWINE/GERMANY/R1696/2014,1C.2.4,,,3.69185666,3.961305802,3.944650714,3.026359465,4.788809919,5.211382907,3.987809234,2.85228785,1.330518917,3.281982679,1.07877641,2.823474186,2.079050171,3.719854961
A/SWINE/GERMANY/AR313/2015,1C.2.4,,,6.349620536,6.667564986,6.588225212,4.806080216,5.054889804,5.932184644,6.407770641,5.275227038,3.559556834,5.971448615,3.574884935,5.519349532,3.906231399,6.176856214
A/SWINE/ITALY/49456-3/2019,1C.2.4,,,2.801030593,3.875192746,4.552746509,6.470765011,6.054959471,8.452823988,2.999999993,3.999999907,4.00000015,4.023921847,4.878532487,3.054002624,6.008460937,1.652131726
A/SWINE/ITALY/69273/2020,1C.2.4,,,3.456181402,3.449753737,2.985305888,3.156317455,7.339838894,6.366597016,5.088027681,4.046787216,3.557346409,3.069961263,1.919154166,3.1267296,1.668339858,4.069733231
A/SWINE/FRANCE/29-200254/2020,1C.2.4,,,4.140402668,4.029205631,3.46889469,3.380186708,7.945713211,6.580144657,5.797295342,4.697861306,4.235690219,3.678128618,2.530454403,3.853752083,1.92955822,4.808551523
A/SWINE/ITALY/45510/2019,1C.2.5,,,3.146914589,3.003043578,2.474881782,3.022966324,7.465388724,6.316124517,4.855965985,3.860525515,3.64787157,2.677684693,2.033678351,2.884186999,1.766399851,3.912284722
A/SWINE/ITALY/127069/2020,1C.2.5,,,4.436658278,4.413639965,3.947923676,3.191850548,7.336049078,6.164477579,5.777946918,4.568854843,3.798920298,3.924040574,2.149753078,3.963316443,1.571771075,4.941035106
,,,,,,,,,,,,,,,,,
*Human Vaccine,,,,,,,,,,,,,,,,,
**CVV,,,,,,,,,,,,,,,,,
